"","X2017","X2018","X2019","X2020","X2021","Total.général","position"
"MEDECIN.PRINCIPAL",NA,NA,"8","12","12",32,"MEDECIN.PRINCIPAL"
"Technicien.de.Laboratoire.Informatique",NA,NA,"6","12","12",30,"Technicien.de.Laboratoire.Informatique"
"Medecin","12","12","4",NA,NA,28,"Medecin"
"Agent.de.production","12","9",NA,NA,NA,21,"Agent.de.production"
"Analyste.1","9",NA,NA,NA,NA,9,"Analyste.1"
"Attaché.De.l.administration","8",NA,NA,NA,NA,8,"Attaché.De.l.administration"
"Unknown","8",NA,NA,NA,NA,8,"Unknown"
"Ouvrier","6",NA,NA,NA,NA,6,"Ouvrier"
"Ouvrier.1","4",NA,NA,NA,NA,4,"Ouvrier.1"
"Inspecteur","3",NA,NA,NA,NA,3,"Inspecteur"
"Secrétaire.de.gestion","2",NA,NA,NA,NA,2,"Secrétaire.de.gestion"
"Inspecteur.en.chef",NA,"1",NA,NA,NA,1,"Inspecteur.en.chef"
"Administration.conseil",NA,"1",NA,NA,NA,1,"Administration.conseil"
