"","year","month","position","n"
"1","2017",1,"Conseiller en Chef",3
"2","2017",1,"Gestionnaire en Chef",262
"3","2017",1,"Comptable en Chef",15
"4","2017",1,"Gestionnaire Financier en Chef",23
"5","2017",1,"Expert Commercial en Chef",2
"6","2017",1,"Auditeur en Chef",1
"7","2017",1,"Contrôleur de gestion en Chef",2
"8","2017",1,"Ingénieur en Chef",53
"9","2017",1,"Expert Technicien en Chef",NA
"10","2017",1,"Analyste en Chef",23
"11","2017",1,"Architecte en Chef",4
"12","2017",1,"Conseiller Général",3
"13","2017",1,"Gestionnaire Général",85
"14","2017",1,"Gestionnaire Financier Général",NA
"15","2017",1,"Ingénieur Général",8
"16","2017",1,"Analyste Général",6
"17","2017",1,"Architecte Général",1
"18","2017",1,"Agent non qualifié 1ère cie",82
"19","2017",1,"Agent non qualifié 2ème cie",7
"20","2017",1,"Agent non qualifié 3ème cie",59
"21","2017",1,"Agent d'Acceuil",10
"22","2017",1,"Agent de métier",71
"23","2017",1,"Agent des postes",63
"24","2017",1,"Agent de guichet",93
"25","2017",1,"Agent de Distribution",661
"26","2017",1,"Agent Administratif Adjoint",7
"27","2017",1,"Agent technique",1
"28","2017",1,"Agent qualifié 1er degré",74
"29","2017",1,"Agent Administratif",157
"30","2017",1,"Agent Bureautique",4
"31","2017",1,"Agent PrincipaL des postes",66
"32","2017",1,"Agent PrincipaL de guichet",222
"33","2017",1,"Agent principale de Distribution",295
"34","2017",1,"Agent financier",2
"35","2017",1,"Technicien Adjoint",12
"36","2017",1,"Technicien de Laboratoire Informatique",NA
"37","2017",1,"Agent qualifié 2ème degré",109
"38","2017",1,"Ouvrier",NA
"39","2017",1,"Gestionnaire Adjoint",184
"40","2017",1,"Surveillant des postes",532
"41","2017",1,"Surveillant des guichets",1471
"42","2017",1,"Surveillant de distribution",388
"43","2017",1,"Gestionnaire financier adjoint",80
"44","2017",1,"Ouvrier",NA
"45","2017",1,"Technicien",165
"46","2017",1,"Programmeur",5
"47","2017",1,"Agent qualifié 3ème degré",89
"48","2017",1,"Gestionnaire",1996
"49","2017",1,"Comptable",3
"50","2017",1,"Gestionnaire Financier",18
"51","2017",1,"Technicien Principal",147
"52","2017",1,"Analyste",29
"53","2017",1,"Gestionnaire Central",951
"54","2017",1,"Comptable Principal",18
"55","2017",1,"Gestionnaire Financier Principal",10
"56","2017",1,"Expert Commercial Principal",9
"57","2017",1,"Ingenieur Principal",28
"58","2017",1,"Technicien en Chef",42
"59","2017",1,"Analyste Central",30
"60","2017",1,"PRESIDENT DIRECTEUR GENERAL",1
"61","2017",1,"Contract. Agent non qualifié 1ère cie",18
"62","2017",1,"Contract. Agent d'Acceuil",2
"63","2017",1,"Contract. Agent de guichet",6
"64","2017",1,"Contract. Agent Administratif Adjoint",NA
"65","2017",1,"Contract. Agent Administratif",25
"66","2017",1,"Contract. Agent PrincipaL de guichet",3
"67","2017",1,"Contract. Gestionnaire Adjoint",45
"68","2017",1,"Contract. Surveillant des guichets",14
"69","2017",1,"Contract. Gestionnaire",97
"70","2017",1,"Contract. Gestionnaire Central",3
"71","2017",1,"Femme Menage",604
"72","2017",1,"Femme Menage qualifié",NA
"73","2017",1,"Gardiennage",257
"74","2017",1,"Gardiennage qualifié",NA
"75","2017",1,"Inspecteur en chef",NA
"76","2017",1,"Inspecteur",NA
"77","2017",1,"Agent de production",1
"78","2017",1,"Secrétaire de gestion",NA
"79","2017",1,"Attaché d'inspection",2
"80","2017",1,"Analyste",1
"81","2017",1,"Administration conseil",NA
"82","2017",1,"Attaché De l'administration",NA
"83","2017",1,"Medecin",1
"84","2017",1,"MEDECIN PRINCIPAL",NA
"85","2017",1,"Unknown",1
"86","2017",10,"Conseiller en Chef",2
"87","2017",10,"Gestionnaire en Chef",352
"88","2017",10,"Comptable en Chef",19
"89","2017",10,"Gestionnaire Financier en Chef",25
"90","2017",10,"Expert Commercial en Chef",2
"91","2017",10,"Auditeur en Chef",1
"92","2017",10,"Contrôleur de gestion en Chef",3
"93","2017",10,"Ingénieur en Chef",50
"94","2017",10,"Expert Technicien en Chef",NA
"95","2017",10,"Analyste en Chef",32
"96","2017",10,"Architecte en Chef",3
"97","2017",10,"Conseiller Général",4
"98","2017",10,"Gestionnaire Général",120
"99","2017",10,"Gestionnaire Financier Général",NA
"100","2017",10,"Ingénieur Général",15
"101","2017",10,"Analyste Général",7
"102","2017",10,"Architecte Général",2
"103","2017",10,"Agent non qualifié 1ère cie",94
"104","2017",10,"Agent non qualifié 2ème cie",9
"105","2017",10,"Agent non qualifié 3ème cie",48
"106","2017",10,"Agent d'Acceuil",9
"107","2017",10,"Agent de métier",69
"108","2017",10,"Agent des postes",142
"109","2017",10,"Agent de guichet",99
"110","2017",10,"Agent de Distribution",622
"111","2017",10,"Agent Administratif Adjoint",7
"112","2017",10,"Agent technique",NA
"113","2017",10,"Agent qualifié 1er degré",74
"114","2017",10,"Agent Administratif",34
"115","2017",10,"Agent Bureautique",2
"116","2017",10,"Agent PrincipaL des postes",53
"117","2017",10,"Agent PrincipaL de guichet",315
"118","2017",10,"Agent principale de Distribution",256
"119","2017",10,"Agent financier",1
"120","2017",10,"Technicien Adjoint",12
"121","2017",10,"Technicien de Laboratoire Informatique",NA
"122","2017",10,"Agent qualifié 2ème degré",108
"123","2017",10,"Ouvrier",3
"124","2017",10,"Gestionnaire Adjoint",161
"125","2017",10,"Surveillant des postes",431
"126","2017",10,"Surveillant des guichets",1308
"127","2017",10,"Surveillant de distribution",371
"128","2017",10,"Gestionnaire financier adjoint",61
"129","2017",10,"Ouvrier",2
"130","2017",10,"Technicien",194
"131","2017",10,"Programmeur",1
"132","2017",10,"Agent qualifié 3ème degré",62
"133","2017",10,"Gestionnaire",2267
"134","2017",10,"Comptable",3
"135","2017",10,"Gestionnaire Financier",17
"136","2017",10,"Technicien Principal",147
"137","2017",10,"Analyste",26
"138","2017",10,"Gestionnaire Central",1056
"139","2017",10,"Comptable Principal",14
"140","2017",10,"Gestionnaire Financier Principal",9
"141","2017",10,"Expert Commercial Principal",9
"142","2017",10,"Ingenieur Principal",26
"143","2017",10,"Technicien en Chef",69
"144","2017",10,"Analyste Central",28
"145","2017",10,"PRESIDENT DIRECTEUR GENERAL",1
"146","2017",10,"Contract. Agent non qualifié 1ère cie",4
"147","2017",10,"Contract. Agent d'Acceuil",2
"148","2017",10,"Contract. Agent de guichet",6
"149","2017",10,"Contract. Agent Administratif Adjoint",NA
"150","2017",10,"Contract. Agent Administratif",34
"151","2017",10,"Contract. Agent PrincipaL de guichet",2
"152","2017",10,"Contract. Gestionnaire Adjoint",44
"153","2017",10,"Contract. Surveillant des guichets",7
"154","2017",10,"Contract. Gestionnaire",86
"155","2017",10,"Contract. Gestionnaire Central",3
"156","2017",10,"Femme Menage",424
"157","2017",10,"Femme Menage qualifié",181
"158","2017",10,"Gardiennage",179
"159","2017",10,"Gardiennage qualifié",78
"160","2017",10,"Inspecteur en chef",NA
"161","2017",10,"Inspecteur",1
"162","2017",10,"Agent de production",1
"163","2017",10,"Secrétaire de gestion",1
"164","2017",10,"Attaché d'inspection",2
"165","2017",10,"Analyste",NA
"166","2017",10,"Administration conseil",NA
"167","2017",10,"Attaché De l'administration",4
"168","2017",10,"Medecin",1
"169","2017",10,"MEDECIN PRINCIPAL",NA
"170","2017",10,"Unknown",1
"171","2017",11,"Conseiller en Chef",2
"172","2017",11,"Gestionnaire en Chef",352
"173","2017",11,"Comptable en Chef",19
"174","2017",11,"Gestionnaire Financier en Chef",25
"175","2017",11,"Expert Commercial en Chef",2
"176","2017",11,"Auditeur en Chef",1
"177","2017",11,"Contrôleur de gestion en Chef",3
"178","2017",11,"Ingénieur en Chef",50
"179","2017",11,"Expert Technicien en Chef",NA
"180","2017",11,"Analyste en Chef",32
"181","2017",11,"Architecte en Chef",3
"182","2017",11,"Conseiller Général",4
"183","2017",11,"Gestionnaire Général",120
"184","2017",11,"Gestionnaire Financier Général",NA
"185","2017",11,"Ingénieur Général",15
"186","2017",11,"Analyste Général",7
"187","2017",11,"Architecte Général",2
"188","2017",11,"Agent non qualifié 1ère cie",94
"189","2017",11,"Agent non qualifié 2ème cie",9
"190","2017",11,"Agent non qualifié 3ème cie",48
"191","2017",11,"Agent d'Acceuil",9
"192","2017",11,"Agent de métier",69
"193","2017",11,"Agent des postes",144
"194","2017",11,"Agent de guichet",100
"195","2017",11,"Agent de Distribution",620
"196","2017",11,"Agent Administratif Adjoint",7
"197","2017",11,"Agent technique",NA
"198","2017",11,"Agent qualifié 1er degré",74
"199","2017",11,"Agent Administratif",42
"200","2017",11,"Agent Bureautique",2
"201","2017",11,"Agent PrincipaL des postes",54
"202","2017",11,"Agent PrincipaL de guichet",315
"203","2017",11,"Agent principale de Distribution",255
"204","2017",11,"Agent financier",1
"205","2017",11,"Technicien Adjoint",16
"206","2017",11,"Technicien de Laboratoire Informatique",NA
"207","2017",11,"Agent qualifié 2ème degré",107
"208","2017",11,"Ouvrier",3
"209","2017",11,"Gestionnaire Adjoint",163
"210","2017",11,"Surveillant des postes",434
"211","2017",11,"Surveillant des guichets",1305
"212","2017",11,"Surveillant de distribution",370
"213","2017",11,"Gestionnaire financier adjoint",61
"214","2017",11,"Ouvrier",2
"215","2017",11,"Technicien",203
"216","2017",11,"Programmeur",1
"217","2017",11,"Agent qualifié 3ème degré",63
"218","2017",11,"Gestionnaire",2267
"219","2017",11,"Comptable",3
"220","2017",11,"Gestionnaire Financier",17
"221","2017",11,"Technicien Principal",146
"222","2017",11,"Analyste",26
"223","2017",11,"Gestionnaire Central",1060
"224","2017",11,"Comptable Principal",14
"225","2017",11,"Gestionnaire Financier Principal",9
"226","2017",11,"Expert Commercial Principal",9
"227","2017",11,"Ingenieur Principal",28
"228","2017",11,"Technicien en Chef",70
"229","2017",11,"Analyste Central",28
"230","2017",11,"PRESIDENT DIRECTEUR GENERAL",1
"231","2017",11,"Contract. Agent non qualifié 1ère cie",4
"232","2017",11,"Contract. Agent d'Acceuil",2
"233","2017",11,"Contract. Agent de guichet",6
"234","2017",11,"Contract. Agent Administratif Adjoint",NA
"235","2017",11,"Contract. Agent Administratif",34
"236","2017",11,"Contract. Agent PrincipaL de guichet",2
"237","2017",11,"Contract. Gestionnaire Adjoint",41
"238","2017",11,"Contract. Surveillant des guichets",7
"239","2017",11,"Contract. Gestionnaire",83
"240","2017",11,"Contract. Gestionnaire Central",3
"241","2017",11,"Femme Menage",424
"242","2017",11,"Femme Menage qualifié",181
"243","2017",11,"Gardiennage",179
"244","2017",11,"Gardiennage qualifié",78
"245","2017",11,"Inspecteur en chef",NA
"246","2017",11,"Inspecteur",2
"247","2017",11,"Agent de production",1
"248","2017",11,"Secrétaire de gestion",1
"249","2017",11,"Attaché d'inspection",2
"250","2017",11,"Analyste",NA
"251","2017",11,"Administration conseil",NA
"252","2017",11,"Attaché De l'administration",4
"253","2017",11,"Medecin",1
"254","2017",11,"MEDECIN PRINCIPAL",NA
"255","2017",11,"Unknown",1
"256","2017",12,"Conseiller en Chef",2
"257","2017",12,"Gestionnaire en Chef",388
"258","2017",12,"Comptable en Chef",19
"259","2017",12,"Gestionnaire Financier en Chef",25
"260","2017",12,"Expert Commercial en Chef",2
"261","2017",12,"Auditeur en Chef",1
"262","2017",12,"Contrôleur de gestion en Chef",3
"263","2017",12,"Ingénieur en Chef",51
"264","2017",12,"Expert Technicien en Chef",NA
"265","2017",12,"Analyste en Chef",32
"266","2017",12,"Architecte en Chef",3
"267","2017",12,"Conseiller Général",4
"268","2017",12,"Gestionnaire Général",124
"269","2017",12,"Gestionnaire Financier Général",NA
"270","2017",12,"Ingénieur Général",15
"271","2017",12,"Analyste Général",8
"272","2017",12,"Architecte Général",2
"273","2017",12,"Agent non qualifié 1ère cie",97
"274","2017",12,"Agent non qualifié 2ème cie",9
"275","2017",12,"Agent non qualifié 3ème cie",45
"276","2017",12,"Agent d'Acceuil",10
"277","2017",12,"Agent de métier",69
"278","2017",12,"Agent des postes",146
"279","2017",12,"Agent de guichet",99
"280","2017",12,"Agent de Distribution",618
"281","2017",12,"Agent Administratif Adjoint",7
"282","2017",12,"Agent technique",NA
"283","2017",12,"Agent qualifié 1er degré",73
"284","2017",12,"Agent Administratif",40
"285","2017",12,"Agent Bureautique",1
"286","2017",12,"Agent PrincipaL des postes",40
"287","2017",12,"Agent PrincipaL de guichet",297
"288","2017",12,"Agent principale de Distribution",216
"289","2017",12,"Agent financier",1
"290","2017",12,"Technicien Adjoint",17
"291","2017",12,"Technicien de Laboratoire Informatique",NA
"292","2017",12,"Agent qualifié 2ème degré",105
"293","2017",12,"Ouvrier",NA
"294","2017",12,"Gestionnaire Adjoint",156
"295","2017",12,"Surveillant des postes",427
"296","2017",12,"Surveillant des guichets",1307
"297","2017",12,"Surveillant de distribution",402
"298","2017",12,"Gestionnaire financier adjoint",53
"299","2017",12,"Ouvrier",NA
"300","2017",12,"Technicien",189
"301","2017",12,"Programmeur",1
"302","2017",12,"Agent qualifié 3ème degré",71
"303","2017",12,"Gestionnaire",2291
"304","2017",12,"Comptable",3
"305","2017",12,"Gestionnaire Financier",23
"306","2017",12,"Technicien Principal",160
"307","2017",12,"Analyste",25
"308","2017",12,"Gestionnaire Central",1066
"309","2017",12,"Comptable Principal",14
"310","2017",12,"Gestionnaire Financier Principal",10
"311","2017",12,"Expert Commercial Principal",9
"312","2017",12,"Ingenieur Principal",27
"313","2017",12,"Technicien en Chef",72
"314","2017",12,"Analyste Central",29
"315","2017",12,"PRESIDENT DIRECTEUR GENERAL",1
"316","2017",12,"Contract. Agent non qualifié 1ère cie",4
"317","2017",12,"Contract. Agent d'Acceuil",2
"318","2017",12,"Contract. Agent de guichet",6
"319","2017",12,"Contract. Agent Administratif Adjoint",NA
"320","2017",12,"Contract. Agent Administratif",33
"321","2017",12,"Contract. Agent PrincipaL de guichet",1
"322","2017",12,"Contract. Gestionnaire Adjoint",41
"323","2017",12,"Contract. Surveillant des guichets",6
"324","2017",12,"Contract. Gestionnaire",83
"325","2017",12,"Contract. Gestionnaire Central",3
"326","2017",12,"Femme Menage",424
"327","2017",12,"Femme Menage qualifié",181
"328","2017",12,"Gardiennage",179
"329","2017",12,"Gardiennage qualifié",78
"330","2017",12,"Inspecteur en chef",NA
"331","2017",12,"Inspecteur",NA
"332","2017",12,"Agent de production",1
"333","2017",12,"Secrétaire de gestion",NA
"334","2017",12,"Attaché d'inspection",1
"335","2017",12,"Analyste",NA
"336","2017",12,"Administration conseil",NA
"337","2017",12,"Attaché De l'administration",NA
"338","2017",12,"Medecin",1
"339","2017",12,"MEDECIN PRINCIPAL",NA
"340","2017",12,"Unknown",NA
"341","2017",2,"Conseiller en Chef",3
"342","2017",2,"Gestionnaire en Chef",262
"343","2017",2,"Comptable en Chef",15
"344","2017",2,"Gestionnaire Financier en Chef",23
"345","2017",2,"Expert Commercial en Chef",2
"346","2017",2,"Auditeur en Chef",1
"347","2017",2,"Contrôleur de gestion en Chef",2
"348","2017",2,"Ingénieur en Chef",53
"349","2017",2,"Expert Technicien en Chef",NA
"350","2017",2,"Analyste en Chef",23
"351","2017",2,"Architecte en Chef",4
"352","2017",2,"Conseiller Général",3
"353","2017",2,"Gestionnaire Général",85
"354","2017",2,"Gestionnaire Financier Général",NA
"355","2017",2,"Ingénieur Général",7
"356","2017",2,"Analyste Général",6
"357","2017",2,"Architecte Général",1
"358","2017",2,"Agent non qualifié 1ère cie",82
"359","2017",2,"Agent non qualifié 2ème cie",7
"360","2017",2,"Agent non qualifié 3ème cie",59
"361","2017",2,"Agent d'Acceuil",10
"362","2017",2,"Agent de métier",71
"363","2017",2,"Agent des postes",62
"364","2017",2,"Agent de guichet",95
"365","2017",2,"Agent de Distribution",664
"366","2017",2,"Agent Administratif Adjoint",7
"367","2017",2,"Agent technique",1
"368","2017",2,"Agent qualifié 1er degré",74
"369","2017",2,"Agent Administratif",27
"370","2017",2,"Agent Bureautique",4
"371","2017",2,"Agent PrincipaL des postes",66
"372","2017",2,"Agent PrincipaL de guichet",352
"373","2017",2,"Agent principale de Distribution",294
"374","2017",2,"Agent financier",2
"375","2017",2,"Technicien Adjoint",11
"376","2017",2,"Technicien de Laboratoire Informatique",NA
"377","2017",2,"Agent qualifié 2ème degré",109
"378","2017",2,"Ouvrier",NA
"379","2017",2,"Gestionnaire Adjoint",185
"380","2017",2,"Surveillant des postes",533
"381","2017",2,"Surveillant des guichets",1467
"382","2017",2,"Surveillant de distribution",387
"383","2017",2,"Gestionnaire financier adjoint",80
"384","2017",2,"Ouvrier",NA
"385","2017",2,"Technicien",165
"386","2017",2,"Programmeur",5
"387","2017",2,"Agent qualifié 3ème degré",89
"388","2017",2,"Gestionnaire",2000
"389","2017",2,"Comptable",3
"390","2017",2,"Gestionnaire Financier",18
"391","2017",2,"Technicien Principal",146
"392","2017",2,"Analyste",29
"393","2017",2,"Gestionnaire Central",952
"394","2017",2,"Comptable Principal",18
"395","2017",2,"Gestionnaire Financier Principal",10
"396","2017",2,"Expert Commercial Principal",9
"397","2017",2,"Ingenieur Principal",29
"398","2017",2,"Technicien en Chef",42
"399","2017",2,"Analyste Central",30
"400","2017",2,"PRESIDENT DIRECTEUR GENERAL",1
"401","2017",2,"Contract. Agent non qualifié 1ère cie",18
"402","2017",2,"Contract. Agent d'Acceuil",2
"403","2017",2,"Contract. Agent de guichet",6
"404","2017",2,"Contract. Agent Administratif Adjoint",NA
"405","2017",2,"Contract. Agent Administratif",25
"406","2017",2,"Contract. Agent PrincipaL de guichet",3
"407","2017",2,"Contract. Gestionnaire Adjoint",45
"408","2017",2,"Contract. Surveillant des guichets",14
"409","2017",2,"Contract. Gestionnaire",97
"410","2017",2,"Contract. Gestionnaire Central",3
"411","2017",2,"Femme Menage",605
"412","2017",2,"Femme Menage qualifié",NA
"413","2017",2,"Gardiennage",257
"414","2017",2,"Gardiennage qualifié",NA
"415","2017",2,"Inspecteur en chef",NA
"416","2017",2,"Inspecteur",NA
"417","2017",2,"Agent de production",1
"418","2017",2,"Secrétaire de gestion",NA
"419","2017",2,"Attaché d'inspection",1
"420","2017",2,"Analyste",1
"421","2017",2,"Administration conseil",NA
"422","2017",2,"Attaché De l'administration",NA
"423","2017",2,"Medecin",1
"424","2017",2,"MEDECIN PRINCIPAL",NA
"425","2017",2,"Unknown",1
"426","2017",3,"Conseiller en Chef",3
"427","2017",3,"Gestionnaire en Chef",268
"428","2017",3,"Comptable en Chef",16
"429","2017",3,"Gestionnaire Financier en Chef",23
"430","2017",3,"Expert Commercial en Chef",2
"431","2017",3,"Auditeur en Chef",1
"432","2017",3,"Contrôleur de gestion en Chef",2
"433","2017",3,"Ingénieur en Chef",53
"434","2017",3,"Expert Technicien en Chef",NA
"435","2017",3,"Analyste en Chef",23
"436","2017",3,"Architecte en Chef",4
"437","2017",3,"Conseiller Général",3
"438","2017",3,"Gestionnaire Général",85
"439","2017",3,"Gestionnaire Financier Général",NA
"440","2017",3,"Ingénieur Général",7
"441","2017",3,"Analyste Général",6
"442","2017",3,"Architecte Général",1
"443","2017",3,"Agent non qualifié 1ère cie",82
"444","2017",3,"Agent non qualifié 2ème cie",7
"445","2017",3,"Agent non qualifié 3ème cie",56
"446","2017",3,"Agent d'Acceuil",10
"447","2017",3,"Agent de métier",70
"448","2017",3,"Agent des postes",63
"449","2017",3,"Agent de guichet",94
"450","2017",3,"Agent de Distribution",661
"451","2017",3,"Agent Administratif Adjoint",7
"452","2017",3,"Agent technique",NA
"453","2017",3,"Agent qualifié 1er degré",73
"454","2017",3,"Agent Administratif",24
"455","2017",3,"Agent Bureautique",2
"456","2017",3,"Agent PrincipaL des postes",55
"457","2017",3,"Agent PrincipaL de guichet",323
"458","2017",3,"Agent principale de Distribution",258
"459","2017",3,"Agent financier",2
"460","2017",3,"Technicien Adjoint",12
"461","2017",3,"Technicien de Laboratoire Informatique",NA
"462","2017",3,"Agent qualifié 2ème degré",104
"463","2017",3,"Ouvrier",NA
"464","2017",3,"Gestionnaire Adjoint",179
"465","2017",3,"Surveillant des postes",507
"466","2017",3,"Surveillant des guichets",1450
"467","2017",3,"Surveillant de distribution",407
"468","2017",3,"Gestionnaire financier adjoint",70
"469","2017",3,"Ouvrier",NA
"470","2017",3,"Technicien",163
"471","2017",3,"Programmeur",3
"472","2017",3,"Agent qualifié 3ème degré",98
"473","2017",3,"Gestionnaire",2082
"474","2017",3,"Comptable",3
"475","2017",3,"Gestionnaire Financier",18
"476","2017",3,"Technicien Principal",142
"477","2017",3,"Analyste",30
"478","2017",3,"Gestionnaire Central",987
"479","2017",3,"Comptable Principal",17
"480","2017",3,"Gestionnaire Financier Principal",10
"481","2017",3,"Expert Commercial Principal",9
"482","2017",3,"Ingenieur Principal",29
"483","2017",3,"Technicien en Chef",49
"484","2017",3,"Analyste Central",31
"485","2017",3,"PRESIDENT DIRECTEUR GENERAL",1
"486","2017",3,"Contract. Agent non qualifié 1ère cie",19
"487","2017",3,"Contract. Agent d'Acceuil",2
"488","2017",3,"Contract. Agent de guichet",9
"489","2017",3,"Contract. Agent Administratif Adjoint",NA
"490","2017",3,"Contract. Agent Administratif",33
"491","2017",3,"Contract. Agent PrincipaL de guichet",3
"492","2017",3,"Contract. Gestionnaire Adjoint",45
"493","2017",3,"Contract. Surveillant des guichets",14
"494","2017",3,"Contract. Gestionnaire",97
"495","2017",3,"Contract. Gestionnaire Central",3
"496","2017",3,"Femme Menage",605
"497","2017",3,"Femme Menage qualifié",NA
"498","2017",3,"Gardiennage",257
"499","2017",3,"Gardiennage qualifié",NA
"500","2017",3,"Inspecteur en chef",NA
"501","2017",3,"Inspecteur",NA
"502","2017",3,"Agent de production",1
"503","2017",3,"Secrétaire de gestion",NA
"504","2017",3,"Attaché d'inspection",1
"505","2017",3,"Analyste",1
"506","2017",3,"Administration conseil",NA
"507","2017",3,"Attaché De l'administration",NA
"508","2017",3,"Medecin",1
"509","2017",3,"MEDECIN PRINCIPAL",NA
"510","2017",3,"Unknown",1
"511","2017",4,"Conseiller en Chef",2
"512","2017",4,"Gestionnaire en Chef",284
"513","2017",4,"Comptable en Chef",16
"514","2017",4,"Gestionnaire Financier en Chef",23
"515","2017",4,"Expert Commercial en Chef",2
"516","2017",4,"Auditeur en Chef",1
"517","2017",4,"Contrôleur de gestion en Chef",2
"518","2017",4,"Ingénieur en Chef",52
"519","2017",4,"Expert Technicien en Chef",NA
"520","2017",4,"Analyste en Chef",23
"521","2017",4,"Architecte en Chef",3
"522","2017",4,"Conseiller Général",4
"523","2017",4,"Gestionnaire Général",87
"524","2017",4,"Gestionnaire Financier Général",NA
"525","2017",4,"Ingénieur Général",9
"526","2017",4,"Analyste Général",7
"527","2017",4,"Architecte Général",2
"528","2017",4,"Agent non qualifié 1ère cie",80
"529","2017",4,"Agent non qualifié 2ème cie",8
"530","2017",4,"Agent non qualifié 3ème cie",54
"531","2017",4,"Agent d'Acceuil",9
"532","2017",4,"Agent de métier",70
"533","2017",4,"Agent des postes",60
"534","2017",4,"Agent de guichet",93
"535","2017",4,"Agent de Distribution",654
"536","2017",4,"Agent Administratif Adjoint",6
"537","2017",4,"Agent technique",NA
"538","2017",4,"Agent qualifié 1er degré",73
"539","2017",4,"Agent Administratif",26
"540","2017",4,"Agent Bureautique",1
"541","2017",4,"Agent PrincipaL des postes",57
"542","2017",4,"Agent PrincipaL de guichet",322
"543","2017",4,"Agent principale de Distribution",255
"544","2017",4,"Agent financier",1
"545","2017",4,"Technicien Adjoint",11
"546","2017",4,"Technicien de Laboratoire Informatique",NA
"547","2017",4,"Agent qualifié 2ème degré",104
"548","2017",4,"Ouvrier",NA
"549","2017",4,"Gestionnaire Adjoint",177
"550","2017",4,"Surveillant des postes",498
"551","2017",4,"Surveillant des guichets",1438
"552","2017",4,"Surveillant de distribution",402
"553","2017",4,"Gestionnaire financier adjoint",68
"554","2017",4,"Ouvrier",NA
"555","2017",4,"Technicien",163
"556","2017",4,"Programmeur",3
"557","2017",4,"Agent qualifié 3ème degré",100
"558","2017",4,"Gestionnaire",2092
"559","2017",4,"Comptable",3
"560","2017",4,"Gestionnaire Financier",19
"561","2017",4,"Technicien Principal",139
"562","2017",4,"Analyste",29
"563","2017",4,"Gestionnaire Central",1000
"564","2017",4,"Comptable Principal",17
"565","2017",4,"Gestionnaire Financier Principal",11
"566","2017",4,"Expert Commercial Principal",9
"567","2017",4,"Ingenieur Principal",28
"568","2017",4,"Technicien en Chef",52
"569","2017",4,"Analyste Central",31
"570","2017",4,"PRESIDENT DIRECTEUR GENERAL",1
"571","2017",4,"Contract. Agent non qualifié 1ère cie",19
"572","2017",4,"Contract. Agent d'Acceuil",2
"573","2017",4,"Contract. Agent de guichet",9
"574","2017",4,"Contract. Agent Administratif Adjoint",NA
"575","2017",4,"Contract. Agent Administratif",34
"576","2017",4,"Contract. Agent PrincipaL de guichet",3
"577","2017",4,"Contract. Gestionnaire Adjoint",45
"578","2017",4,"Contract. Surveillant des guichets",14
"579","2017",4,"Contract. Gestionnaire",97
"580","2017",4,"Contract. Gestionnaire Central",3
"581","2017",4,"Femme Menage",605
"582","2017",4,"Femme Menage qualifié",NA
"583","2017",4,"Gardiennage",257
"584","2017",4,"Gardiennage qualifié",NA
"585","2017",4,"Inspecteur en chef",NA
"586","2017",4,"Inspecteur",NA
"587","2017",4,"Agent de production",1
"588","2017",4,"Secrétaire de gestion",NA
"589","2017",4,"Attaché d'inspection",1
"590","2017",4,"Analyste",1
"591","2017",4,"Administration conseil",NA
"592","2017",4,"Attaché De l'administration",NA
"593","2017",4,"Medecin",1
"594","2017",4,"MEDECIN PRINCIPAL",NA
"595","2017",4,"Unknown",1
"596","2017",5,"Conseiller en Chef",2
"597","2017",5,"Gestionnaire en Chef",284
"598","2017",5,"Comptable en Chef",16
"599","2017",5,"Gestionnaire Financier en Chef",23
"600","2017",5,"Expert Commercial en Chef",2
"601","2017",5,"Auditeur en Chef",1
"602","2017",5,"Contrôleur de gestion en Chef",2
"603","2017",5,"Ingénieur en Chef",52
"604","2017",5,"Expert Technicien en Chef",NA
"605","2017",5,"Analyste en Chef",23
"606","2017",5,"Architecte en Chef",3
"607","2017",5,"Conseiller Général",4
"608","2017",5,"Gestionnaire Général",87
"609","2017",5,"Gestionnaire Financier Général",NA
"610","2017",5,"Ingénieur Général",9
"611","2017",5,"Analyste Général",7
"612","2017",5,"Architecte Général",2
"613","2017",5,"Agent non qualifié 1ère cie",80
"614","2017",5,"Agent non qualifié 2ème cie",8
"615","2017",5,"Agent non qualifié 3ème cie",54
"616","2017",5,"Agent d'Acceuil",9
"617","2017",5,"Agent de métier",70
"618","2017",5,"Agent des postes",62
"619","2017",5,"Agent de guichet",94
"620","2017",5,"Agent de Distribution",651
"621","2017",5,"Agent Administratif Adjoint",6
"622","2017",5,"Agent technique",NA
"623","2017",5,"Agent qualifié 1er degré",73
"624","2017",5,"Agent Administratif",25
"625","2017",5,"Agent Bureautique",1
"626","2017",5,"Agent PrincipaL des postes",56
"627","2017",5,"Agent PrincipaL de guichet",323
"628","2017",5,"Agent principale de Distribution",256
"629","2017",5,"Agent financier",1
"630","2017",5,"Technicien Adjoint",11
"631","2017",5,"Technicien de Laboratoire Informatique",NA
"632","2017",5,"Agent qualifié 2ème degré",104
"633","2017",5,"Ouvrier",NA
"634","2017",5,"Gestionnaire Adjoint",182
"635","2017",5,"Surveillant des postes",499
"636","2017",5,"Surveillant des guichets",1432
"637","2017",5,"Surveillant de distribution",402
"638","2017",5,"Gestionnaire financier adjoint",68
"639","2017",5,"Ouvrier",NA
"640","2017",5,"Technicien",163
"641","2017",5,"Programmeur",3
"642","2017",5,"Agent qualifié 3ème degré",100
"643","2017",5,"Gestionnaire",2092
"644","2017",5,"Comptable",3
